,easy_get,name,count
60,Good hair in infants,"['Caffeine and aminamine poisoning', 'Patent ductus arteriosus', 'Family colorect', 'Rotavirus enteritis', 'No bilessenin diasher jaundice syndrome', 'Congenital intestinal lock and narrow']",6
217,Send to newborns,"['A lot of amniotic fluid suction', 'Anal blocking', 'Giant bladder - small colon - intestinal pressure adverse syndrome', 'Congenital rectal anal malformation', 'Dihydramine intrahepatic bile sludge syndrome']",5
205,Send a young man,"['Hyperthyroidism', 'Non-specific urethritis', 'Opioid', 'ADH secretion too much syndrome', 'He Jiejin']",5
154,More than women,"['Mitral decay calcification', 'Three-pointed stenosis', 'Non-gonococcal urethritis', 'Urethritis', 'Breast']",5
146,More than children,"['pertussis', 'Abdominal epilepsy syndrome', 'lead poisoning', 'Ginkgo poisoning']",4
23,Be like a child,"['Delaminism', 'Chlorpromazine poisoning', 'Pediatric acute pancreatitis', 'Children congenital giant colon']",4
58,Good hair,"['Semi-lactation', 'Potassium permanganate poisoning', 'Eosinophilic gastroenteritis']",3
130,More common in the elderly,"['Pneumonia pneumonia', 'Chronic sexual dance disease', 'Hypertezable non ketogeneous diabetes coma']",3
247,Young and middle-aged,"['Vibrachausolis', 'Facial neuritis']",2
21,Ballospellation,"['Biliary sports dysfunction syndrome', 'Gallbladder resection']",2
180,Patients who have all kinds of organic heart disease,"['Arrhythmia', 'Heartone blocking block']",2
133,More in middle age,"['Demine', 'Spinal cord subacute combination']",2
164,No community.,"['Diaper', 'Nerve paralysis']",2
209,Send it in middle-aged,"['Cerebral bleeding', 'High blood fat']",2
255,male,"['Penis fibrous sponge inflammation', 'Male breast development']",2
52,Fair in women,"['Urinary tract infection', 'Polycystic Ovary Syndrome']",2
183,"Patients with ulcerative colitis, congenital bile duct cyst, patients with biliary surgery",['Cholangiocarcinoma'],1
175,Pasinade-oriented children in full moon or near the month,['Newborn wet lung'],1
171,Older and body weak children,['Shock pneumonia'],1
172,Older people who have been sent to 65-75 years old,['Senior deafness'],1
173,Operating workers in contact with mercury,['Mercury poisoning'],1
174,Parents close relatives,['Nimeman-Picker disease'],1
187,People with severe liver disease,['Hepatic cerebral disease'],1
188,Perinatal newborn,['Ischemic hypoxic brain disease'],1
182,Patients with hepatitis healing,['Hepatitis syndrome'],1
176,Patient after gastric surgery,['Pour syndrome'],1
177,Patients after Pink II,['Residual sinus syndrome'],1
186,People with liver disease,['Hepatic kidney damage'],1
185,People who have acute rheumatic fever when they are young,['Rheumatoid mitral stenosis'],1
170,"Old, young, body",['Partial anesthetics poisoning'],1
184,People in 40 years old,['Disease sinus syndrome'],1
179,"Patients who can't eat normally, severe diarrhea vomiting",['Hypokalemia'],1
181,"Patients with diabetes, malignant tumors, liver disease, severe infection, hypoxia",['Lactic acidosis'],1
178,Patients are more than 35 years old,['Spleen - liver syndrome'],1
138,"More than 2 years old, especially within 6 months, small babies",['Respiratory syncytial virus pneumonia'],1
169,"Old man, child",['Mycoplasma pneumonia'],1
167,"No specific good population, male incidence is higher than women",['Amiba liver pus'],1
139,More than 2 ~ 10 years old,['Acute poisonous encephalitis'],1
140,More than 2-12 years old,['Child sleep barrier'],1
141,More than 20 ~ 40 years old,['Chronic ulcerative colitis'],1
142,More than 20-40 years old,['Mitral valve is closed'],1
143,More than 40 ~ 60 years old,['Positional vertigo'],1
144,More than 45 years old,['Spinal cord blood vessel disease'],1
145,"More than 50 years old, more women",['False membrane enteritis'],1
147,More than infants,['Aortic valve'],1
148,More than middle-aged,['Primary small blood vessel inflammatory kidney damage'],1
149,More than severe liver disease,['Hepatic lung syndrome'],1
150,More than the elderly,['Pediatric pneumonia'],1
151,More than the smoking crowd,['Pulmonary'],1
152,"More than the young age, you have a 20 ~ 40-year-old, and the men and women are in the case of 2 ~ 3: 1",['Malignant tissue cytopathy'],1
153,"More than the young years, men are more than women, have passed the history of spontaneous pneumothorax, easy to bleak",['Spontaneous blood'],1
155,More than yours,['Crohn disease'],1
156,More than youth women,['Renault syndrome'],1
157,Most drug users,['Opioid drug poisoning'],1
158,Most of the first maternity,['Acute mastitis'],1
159,"Multiple children, with men",['Dysentery syndrome'],1
160,Multiple male,['Colon torsion'],1
161,"Newborn, especially more common in diabetes, pregnancy, pre-placenta, etc.",['Neonatal hypoxic ischemic encephalopathy'],1
189,"Popular displacement, more men than women, more common in young years",['Tropic lung eosinocyte infiltration'],1
136,More sickness in women,['Acute thyroiditis'],1
135,More seeing the baby or shortly after birth,['Hemangioma'],1
137,More than 2 to 10 months infants,"[""Children's pancreas function and neutral granulocyte reduction syndrome""]",1
0,"20 ~ 40 years old, middle-aged, more men",['Chest tuberculosis'],1
196,Same in young women,['Abdominal artery compression syndrome'],1
190,Pregnancy,['Amniotic fluid'],1
238,What happened in young men,['Large leaf pneumonia'],1
226,"The age of age is more than 40 years old, more men than women",['Esophageal cancer'],1
227,The disease is more common in the old age of 50 to 60 years old.,['Cerebral thrombosis'],1
228,"The disease is the same, usually 40 ~ 50 years old.",['Special occlusion resistant bronchitis with aircraft'],1
229,"The peak of the age of onset is 25 ~ 44 years old, women are 40 ~ 59 years old.",['Cluster headache'],1
230,"There are family history, more common in women",['Near end (type II) renal tubulent acidosis'],1
231,"There is a disease between 20 to 30 years old, and some can be onset in children.",['Ovo syndrome'],1
232,"This disease is congenital disease, more common in infants",['Faro Soul'],1
233,"This disease is more common in Yingqing, middle-aged",['Tone headache'],1
234,"Ulcerative colitis, has a family background of family colorectal, in the past, suffering from colorectal cancer has been operated, big meal meat",['Colorectal cancer'],1
235,"Universally susceptible, women are more likely to drink long-term drinking",['Alcoholic liver disease'],1
236,What happened in postpartum women,['Static lymphocytic thyroiditis'],1
237,What happened in women,['Cystitis'],1
239,"With children, young and middle-aged, more common in tuberculosis patients",['Tuberculosis peritonitis'],1
191,Pregnant woman,['Early pregnancy reaction'],1
240,"With more infants, more men are more than women",['Temperature'],1
241,"Women are more common, the ratio of men and women is 1: 2",['Pool-like syndrome'],1
242,Women who have sent to menopause before and after,['Breast cancer'],1
243,Workers in contact with chemical dyes and viscose fibers,['Diulfurized carbon poisoning'],1
244,Working environment dust,['Silicone'],1
245,Young and childhood and children,['Intestinal torsion'],1
246,Young and field workers,['Spore bacteria'],1
249,"Young children, older weakness, and lack of surgery",['Golden pneumococcal pneumonia'],1
250,Young girls happen to 2-9 years old,['Infant vaginitis'],1
251,Young people with valve disease or congenital heart disease,['Acute infective endocarditis'],1
252,"Young, middle-aged",['Spidern inflammation'],1
253,baby,['Gas'],1
225,"The age is more than 40 to 50 years old, and the history of hypertension is more than 5 to 10 years.",['Hypertensive nephropathy'],1
224,Surgery patient,['Hypertrophic dehydration'],1
223,"Strong, middle-aged male",['Chronic nephritis'],1
222,"Smokers, mine workers",['Blocking lung'],1
192,"Proposed by youth, more common",['Store-resistant glomerular sclerosis'],1
193,Psychological social factors,['Neurological vomiting'],1
194,Radiomes,['Radioactive pneumonia'],1
195,Same in the elderly,['Old vertigo'],1
197,See Women,['Stripstick closed syndrome'],1
198,See infants,['Pediatric cerebral palsy'],1
199,See patients with elderly diabetes,['Diabetic lactic acidosis'],1
200,See the newborn,['Newborn convulsion'],1
201,See you,['Vitamin E lack of disease'],1
202,Send a 30 ~ 50-year-old group,['Dilated cardiomyopathy'],1
203,Send a middle-aged and elderly people over 50 years old,['Bone marrow hyperplasia abnormal syndrome'],1
204,Send a white woman in 30 ~ 50 years old,['Plummer-Vinson syndrome'],1
207,Send it in children's period,['Intestinal virus causes system infection'],1
208,Send it in elderly men and women,['Dementia syndrome'],1
210,"Send it in newborns, infants",['Coronary artery origin'],1
211,Send it in teen male,['Beneficial paroxysmia syndrome'],1
212,Send it in the elderly,['Acute suppurative cholangitis'],1
213,Send more,['jaundice'],1
214,Send people from 45 years old,['Intestinal torsion syndrome'],1
215,Send to children and teenagers,['Allergic purpura'],1
216,Send to children and young women,['Allergic vasculitis'],1
218,"Send to the elderly, children",['Rectal prolapse'],1
219,Seniors and maternal,['Heat loss'],1
220,"Seniors with chronic lung disease, smokers",['Chronic pulmonary heart disease'],1
221,Smoker,['Respiratory fine branch tracheal interpolation lung disease'],1
134,More occurred in children,['Enteric lymph nodes'],1
128,"More common in patients with high blood pressure heart disease, valve disease, coronary heart disease",['Acute heart failure'],1
132,More common men with young people,['Hepatic spinal disease'],1
48,Eating irregular adult,['Zhuo-Ai Siy'],1
35,"Children, elderly, physical weakness, chronic patients, women, etc.",['Premature beat'],1
36,"Children, immunity is easy to develop",['Pediatric tuberculosis'],1
37,"Children, senior elderly, consciousness and tracheal esophageal fistula, tracheal intubage, etc.",['Inhalation pneumonia'],1
38,"Chinese young women, especially men, women",['Heart neurological function'],1
39,Chinese youth,['Hepatic cyst'],1
40,Common children under 15 years old,['BRENNEMAN syndrome'],1
41,Common in childhood,['Bart syndrome'],1
42,Common in the elderly,['Colon diverticulosis'],1
43,Commonly larger than 60-year-old,['Obstructive urinary tract disease'],1
44,Contact cadmium,['Cadmium poisoning'],1
45,Crowd in 50 years old,['Colorectal polyps'],1
46,Demonstrative heritage,['Multiple endocrine tumor syndrome type I'],1
47,"Diabetes uncontrolled, vomiting or ingestion, body resistance degradation",['Acute lung abscess'],1
49,Elderly,"[""Alzheimer's disease""]",1
131,"More common in young men, more than 15 ~ 20 years old",['Gilbert syndrome'],1
50,Elderly people and newborns development is often,['Large intestinal obstruction'],1
51,"Elderly, smoking alcoholics, immune function low",['Legion disease'],1
53,"Field rat, mouse contact history, or accommodation in the rats and the same patients in the vicinity",['Lymphocyte choroidal brainitis'],1
54,Frequently 3-8 years old,['Acute nephritis'],1
55,Frequently nutritious men in 20 ~ 30 years old,['Intrame primary segmental infarction'],1
56,Full month and pre-production,['Amniotic fluid and fetal suction syndrome'],1
57,Gene mutator encoding aAT protein,['α1-anti-supatient deficiency'],1
59,Good hair and teenagers,['Acute glomerulonephritis after streptococcal infection'],1
61,Good hair in middle-aged women,['Mendal cystitis'],1
62,"Good hair, infants and young age",['Current gas inflammation'],1
63,Good haired gay and women,['Gamous anal rectalitis'],1
64,"Good hairs, adults over infants and more than 50 years old",['Tumor'],1
65,"Good hairs, pregnant women, elderly",['Hepatitis B'],1
34,Children under 5 years old,['Respiratory foreign matter'],1
33,Children see more,['Tuberculous mesenteric lymphadenitis'],1
32,Children in 5 to 15 years old,['Rheumatoid Dance'],1
31,Children and youth,['Microphone'],1
2,30-50 years old,['Breast hyperplasia'],1
3,"40 ~ 70 years old, the incidence rate after 60 years old","[""Parkinson's Disease""]",1
4,40-60 years old,['Spontaneous esophageal rupture'],1
5,"50 ~ 59 years old, women are slightly more than men",['Huozi syndrome'],1
6,50 ~ 60 years old people,['Aortic flap stenosis'],1
7,"60 years old or older men are more common, there are more smoking history",['Species pulmonary fibrosis'],1
8,"A few children or children aged 6 months to 15 years old, with an average age of 6 years old, rare in adult","[""Rui's syndrome""]",1
9,"AIDS, drug abuse, immunodeficiency population","[""Ca's pulmonary sac""]",1
10,Acute peritonitis or intraperitoneal surgery patients,['Pneumatic abscess'],1
11,Adolescents,['Non-IgA-membrane hyperplasia nephritis'],1
12,"Adolescents, in adolescents",['Maishi intestinal obstruction syndrome'],1
13,"Adult, elderly, obese female",['Acute gallbladder'],1
14,"Adult, older",['Paleala chamber'],1
15,"Age of the age of 12 ~ 72, an average of 42.5 years old, more than 30 ~ 50 years old, the ratio of men and women is 2:1",['Paste cystic cancer'],1
16,Allergies,['Allergic shock'],1
17,"Anti-HHAV negative person is a susceptible population, and the baby below six months is not easy to infect.",['Hepatitis A'],1
18,"Any age can occur, more common in 50-60 years old",['Twelve 指 肠 室'],1
19,Any possible contact,['Pesticide poisoning'],1
20,At the beginning of 20 ~ 30 years old,['Enabling hepatitis syndrome'],1
22,Based on cotton crowd,['Crude cotton oil poisoning'],1
24,"Cardiac valve disease, artificial valve replacement, congenital heart disease patients",['Infective endocarditis'],1
25,"Chest trauma, surgery, upper abdomen surgery, can not be self-coughing cough",['Post-traumatic pneumonia'],1
26,Child-oriented,['Whip'],1
27,Children,['Vitamin D poisoning'],1
28,Children and adolescents are more common than adults,['Acute hemorrhagic necrotic enteritis'],1
29,Children and teenagers,['Flood'],1
30,Children and young age,['Brain abscess'],1
66,Good infants and young children in five years old,['Kawasaki disease'],1
67,Good person from 20 to 40 years old fat sweat,['Puzzle sweat'],1
68,Good person from 50-70 years old,['Bone marrow fibrosis'],1
101,"Long-term drinkers, more men than women",['Zieve syndrome'],1
103,Mainly seen in infants,['Hemolysis syndrome'],1
